id,name,gender,eye color,race,hair color,publisher,alignment
139,Buffy,Female,green,Human,Blond,Dark Horse Comics,good
140,Bullseye,Male,blue,Human,blond,Marvel Comics,bad
141,Bumblebee,Female,brown,Human,Black,DC Comics,good
142,Bumbleboy,Male,-,-,-,Marvel Comics,good
143,Bushido,Male,-,Human,-,DC Comics,good
144,Cable,Male,blue,Mutant,White,Marvel Comics,good
145,Callisto,Female,blue,-,Black,Marvel Comics,bad
146,Cameron Hicks,Male,-,Alpha,-,SyFy,good
147,Cannonball,Male,blue,-,Blond,Marvel Comics,good
148,Captain America,Male,blue,Human,blond,Marvel Comics,good
149,Captain Atom,Male,blue,Human / Radiation,Silver,DC Comics,good
150,Captain Britain,Male,blue,Human,Blond,Marvel Comics,good
151,Captain Cold,Male,brown,Human,Brown,DC Comics,neutral
152,Captain Epic,Male,blue,-,Brown,Team Epic TV,good
153,Captain Hindsight,Male,-,Human,Black,South Park,good
154,Captain Mar-vell,Male,blue,-,Blond,Marvel Comics,good
155,Captain Marvel,Female,blue,Human-Kree,Blond,Marvel Comics,good
156,Captain Marvel,Male,blue,Human,Black,DC Comics,good
157,Captain Marvel II,Male,blue,Human,Black,DC Comics,good
158,Captain Midnight,Male,-,Human,-,Dark Horse Comics,good
159,Captain Planet,Male,red,God / Eternal,Green,Marvel Comics,good
160,Captain Universe,-,-,God / Eternal,-,Marvel Comics,good
161,Carnage,Male,green,Symbiote,Red,Marvel Comics,bad
162,Cat,Female,blue,-,Blond,Marvel Comics,good
163,Cat II,Female,-,-,-,Marvel Comics,good
164,Catwoman,Female,green,Human,Black,DC Comics,good
165,Cecilia Reyes,-,brown,-,Brown,Marvel Comics,good
166,Century,Male,white,Alien,White,Marvel Comics,good
167,Cerebra,Female,-,Mutant,-,Marvel Comics,good
168,Chamber,Male,brown,Mutant,Brown,Marvel Comics,good
169,Chameleon,Male,-,-,-,DC Comics,bad
170,Changeling,Male,brown,-,Black,Marvel Comics,bad
171,Cheetah,Female,green,Human,Blond,DC Comics,bad
172,Cheetah II,Female,green,Human,Brown,DC Comics,bad
173,Cheetah III,Female,brown,Human,Brown,DC Comics,bad
174,Chromos,Male,brown,-,Red / Grey,Team Epic TV,bad
175,Chuck Norris,Male,-,-,-,-,good
176,Citizen Steel,Male,green,Human,Red,DC Comics,good
177,Claire Bennet,Female,blue,-,Blond,NBC - Heroes,good
178,Clea,-,-,-,White,Marvel Comics,good
179,Cloak,Male,brown,-,black,Marvel Comics,good
180,Clock King,Male,blue,Human,Black,DC Comics,bad
181,Cogliostro,Male,-,-,-,Image Comics,bad
182,Colin Wagner,Male,grey,-,Brown,HarperCollins,good
183,Colossal Boy,Male,-,-,-,DC Comics,good
184,Colossus,Male,silver,Mutant,Black,Marvel Comics,good
185,Copycat,Female,red,Mutant,White,Marvel Comics,neutral
186,Corsair,Male,brown,-,Brown,Marvel Comics,good
187,Cottonmouth,Male,brown,Human,Black,Marvel Comics,bad
188,Crimson Crusader,Male,blue,-,Strawberry Blond,Marvel Comics,good
189,Crimson Dynamo,Male,brown,-,No Hair,Marvel Comics,good
190,Crystal,Female,green,Inhuman,Red,Marvel Comics,good
191,Curse,Male,-,-,-,Image Comics,bad
192,Cy-Gor,Male,-,-,-,Image Comics,bad
193,Cyborg,Male,brown,Cyborg,Black,DC Comics,good
194,Cyborg Superman,Male,blue,Cyborg,Black,DC Comics,bad
195,Cyclops,Male,brown,Mutant,Brown,Marvel Comics,good
196,Cypher,-,blue,-,Blond,Marvel Comics,good
197,Dagger,Female,blue,-,Blond,Marvel Comics,good
198,Danny Cooper,Male,brown,-,Blond,HarperCollins,good
199,Daphne Powell,Female,-,-,-,ABC Studios,good
200,Daredevil,Male,blue,Human,Red,Marvel Comics,good
201,Darkhawk,Male,brown,Human,Brown,Marvel Comics,good
202,Darkman,Male,-,-,-,Universal Studios,good
203,Darkseid,Male,red,New God,No Hair,DC Comics,bad
204,Darkside,-,-,-,-,-,bad
205,Darkstar,Female,brown,Mutant,Blond,Marvel Comics,good
206,Darth Maul,Male,yellow / red,Dathomirian Zabrak,-,George Lucas,bad
207,Darth Vader,Male,yellow,Cyborg,No Hair,George Lucas,bad
208,Dash,Male,blue,Human,Blond,Dark Horse Comics,good
209,Data,Male,yellow,Android,Brown,Star Trek,good
210,Dazzler,Female,blue,Mutant,Blond,Marvel Comics,good
211,Deadman,Male,blue,Human,Black,DC Comics,good
212,Deadpool,Male,brown,Mutant,No Hair,Marvel Comics,neutral
213,Deadshot,Male,brown,Human,Brown,DC Comics,bad
214,Deathlok,Male,brown,Cyborg,Grey,Marvel Comics,good
215,Deathstroke,Male,blue,Human,White,DC Comics,neutral
216,Demogoblin,Male,red,Demon,No Hair,Marvel Comics,bad
217,Destroyer,Male,-,-,-,Marvel Comics,bad
218,Diamondback,Male,brown,Human,Black,Marvel Comics,bad
219,DL Hawkins,Male,-,-,-,NBC - Heroes,good
220,Doc Samson,Male,blue,Human / Radiation,Green,Marvel Comics,good
221,Doctor Doom,Male,brown,Human,Brown,Marvel Comics,bad
222,Doctor Doom II,Male,brown,-,Brown,Marvel Comics,bad
223,Doctor Fate,Male,blue,Human,Blond,DC Comics,good
224,Doctor Octopus,Male,brown,Human,Brown,Marvel Comics,bad
225,Doctor Strange,Male,grey,Human,Black,Marvel Comics,good
226,Domino,Female,blue,Human,Black,Marvel Comics,good
227,Donatello,Male,green,Mutant,No Hair,IDW Publishing,good
228,Donna Troy,Female,blue,Amazon,Black,DC Comics,good
229,Doomsday,Male,red,Alien,White,DC Comics,bad
230,Doppelganger,Male,white,-,No Hair,Marvel Comics,bad
231,Dormammu,Male,yellow,-,No Hair,Marvel Comics,bad
232,Dr Manhattan,Male,white,Human / Cosmic,No Hair,DC Comics,good
233,Drax the Destroyer,Male,red,Human / Altered,No Hair,Marvel Comics,good
234,Ego,-,-,-,-,Marvel Comics,bad
235,Elastigirl,Female,brown,Human,Brown,Dark Horse Comics,good
236,Electro,Male,blue,Human,Auburn,Marvel Comics,bad
237,Elektra,Female,blue,Human,Black,Marvel Comics,good
238,Elle Bishop,Female,blue,-,Blond,NBC - Heroes,bad
239,Elongated Man,Male,blue,-,Red,DC Comics,good
240,Emma Frost,Female,blue,-,Blond,Marvel Comics,good
241,Enchantress,Female,blue,Human,Blond,DC Comics,good
242,Energy,Female,-,-,-,HarperCollins,good
243,ERG-1,Male,-,-,-,DC Comics,good
244,Ethan Hunt,Male,brown,Human,Brown,-,good
245,Etrigan,Male,red,Demon,No Hair,DC Comics,neutral
